,0
12353,0
12360,1
12366,0
12370,2
12375,0
12389,0
12403,1
12406,0
12407,2
12408,1
12419,1
12423,0
12428,0
12433,1
12439,0
12445,0
12451,1
12453,2
12456,2
12466,0
12467,0
12480,2
12481,1
12486,0
12487,2
12488,2
12498,2
12506,1
12512,0
12515,1
12516,2
12517,2
12521,0
12523,1
12527,2
12533,0
12538,1
12541,0
12544,1
12549,1
12561,1
12573,2
12577,0
12589,0
12595,0
12596,2
12599,1
12611,2
12629,1
12631,0
12635,2
12641,0
12643,1
12650,1
12651,2
12657,2
12659,1
12676,2
12684,2
12691,0
12713,1
12717,1
12720,0
12726,1
12735,0
12736,2
12738,0
12740,1
12742,1
12750,1
12768,1
12782,0
12787,0
12792,1
12800,2
12803,2
12805,1
12815,1
12816,1
12830,0
12840,0
12842,0
12849,0
12850,1
12864,1
12868,0
12870,0
12875,2
12878,0
12890,1
12898,1
12909,1
12917,0
12919,0
12923,1
12933,1
12947,2
12951,1
12962,0
12970,0
12972,0
12974,0
12981,2
12985,0
12986,1
12991,2
12995,2
13008,0
13011,0
13015,2
13032,2
13036,0
13040,0
13043,0
13050,1
13074,0
13096,1
13098,2
13104,2
13127,0
13132,0
13137,0
13148,0
13193,2
13209,0
13212,0
13213,0
13218,0
13232,2
13234,0
13241,1
13244,0
13252,2
13260,1
13266,0
13283,1
13313,1
13315,1
13359,1
13360,0
13365,2
13372,0
13376,1
13377,1
13396,1
13400,0
13403,0
13411,1
13423,1
13427,0
13435,2
13436,0
13438,0
13452,0
13460,1
13467,1
13484,1
13505,0
13510,2
13521,0
13535,0
13548,2
13566,2
13570,2
13591,0
13618,0
13623,1
13627,0
13628,0
13636,1
13640,0
13641,0
13648,1
13653,0
13661,1
13664,1
13672,0
13683,0
13689,0
13694,0
13703,0
13715,0
13718,1
13721,0
13724,0
13728,1
13750,1
13758,0
13764,0
13767,2
13773,0
13775,0
13781,1
13785,1
13789,0
13794,1
13795,1
13804,2
13806,0
13807,0
13820,2
13822,0
13823,0
13833,0
13843,0
13844,0
13850,0
13855,1
13860,1
13863,2
13864,2
13876,1
13880,0
13887,1
13899,0
13902,0
13913,1
13918,0
13921,2
13944,1
13958,0
13966,0
13984,1
13992,1
13997,0
14001,0
14008,1
14022,2
14033,0
14040,1
14046,1
14048,0
14050,2
14056,2
14073,1
14079,1
14091,0
14092,0
14098,1
14115,1
14116,1
14118,2
14120,1
14121,0
14124,2
14129,0
14132,1
14139,0
14141,0
14148,1
14151,2
14166,0
14191,1
14199,2
14210,1
14212,2
14219,0
14230,1
14242,0
14246,0
14252,2
14256,1
14257,2
14262,0
14279,2
14288,2
14302,2
14306,0
14319,0
14324,0
14334,1
14335,0
14342,0
14350,0
14356,1
14359,2
14371,1
14372,2
14379,0
14398,0
14402,0
14407,0
14417,2
14422,2
14430,0
14439,0
14440,0
14442,1
14446,1
14453,0
14457,1
14460,0
14462,0
14464,1
14476,1
